N,LOCATION,LAT,LON,STN_CHAN,PERCENT_UP
200,DOMINICAN REPUBLIC REGION,19.289801,-69.188301,SMDR_BHZ.PR.--,98.9
201,NICARAGUA,11.416700,-84.890000,SMRN_HHZ.NU.10,100.3
202,LEEWARD ISLANDS,18.050501,-63.074600,SMRT_BHZ.NA.--,99.0
203,VIRGIN ISLANDS,17.699398,-64.793793,SNC1_HNZ.PR.00,0.0
204,EL SALVADOR,13.686800,-89.231500,SNET_HHZ.SV.--,0.0
205,CUBA REGION,22.793200,-83.008600,SOR_HHZ.CW.00,52.8
206,BAJA CALIFORNIA MEXICO,31.045799,-115.465797,SPIG_BHZ.MX.--,76.4
207,COSTA RICA,9.232100,-83.360100,SRBA_HHZ.OV.--,100.3
208,BAJA CALIFORNIA MEXICO,27.319800,-112.241000,SRIG_BHZ.MX.--,76.4
209,JAMAICA REGION,18.080000,-76.810000,STHB_HHZ.JM.00,74.8
210,VIRGIN ISLANDS,18.352395,-64.956494,STVI_HHZ.PR.00,97.7
211,WINDWARD ISLANDS,13.272000,-61.251999,SVB_BHZ.TR.--,0.0
212,VIRGIN ISLANDS,18.415001,-64.618599,TBVI_SHZ.PR.--,0.0
213,COSTA RICA,10.042100,-84.299800,TCS1_HHZ.TC.--,97.3
214,LEEWARD ISLANDS,15.855000,-61.635400,TDBA_HHE.WI.00,0.0
215,LEEWARD ISLANDS,15.855000,-61.635400,TDBA_HHN.WI.00,0.0
216,LEEWARD ISLANDS,15.855000,-61.635400,TDBA_HHZ.WI.00,99.5
217,YUCATAN PENINSULA MEXICO,20.226299,-88.276398,TEIG_BHZ.IU.00,59.0
218,CHIAPAS MEXICO,16.778210,-93.122278,TGIG_BHZ.MX.--,76.4
219,HONDURAS,14.057000,-87.273003,TGUH_BHZ.CU.00,100.0
220,CALIF.-BAJA CALIF. BORDER REGION,32.433762,-116.676247,TJIG_BHZ.MX.--,75.9
221,GUERRERO MEXICO,17.562652,-98.566500,TLIG_BHZ.MX.--,76.6
222,WINDWARD ISLANDS,11.298400,-60.535300,TOSP_BHZ.TR.--,0.0
223,CENTRAL MEXICO,18.419500,-97.361700,TPIG_BHZ.MX.--,70.2
